question,option1,option2,option3,option4,correct_answer,level
Who wrote Ramayana?,Valmiki,Tulsidas,Kalidas,Ved Vyas,1,medium
Which blood group is universal donor?,A,B,AB,O Negative,4,medium
Which is the largest state in India by area?,UP,Rajasthan,Maharashtra,Gujarat,2,medium
What is the currency of Japan?,Won,Yuan,Yen,Ringgit,3,medium
Which vitamin is produced by sunlight?,A,B,C,D,4,medium
Who invented telephone?,Newton,Edison,Graham Bell,Tesla,3,medium
What is the freezing point of water?,0°C,10°C,50°C,100°C,1,medium
Which country gifted Statue of Liberty to USA?,France,Germany,Italy,Canada,1,medium
What is the largest bone in human body?,Skull,Rib,Femur,Spine,3,medium
Which Mughal emperor built Taj Mahal?,Akbar,Humayun,Shah Jahan,Babur,3,medium
Which instrument measures temperature?,Barometer,Thermometer,Hygrometer,Altimeter,2,medium
Who painted Mona Lisa?,Picasso,Da Vinci,Van Gogh,Michelangelo,2,medium
Which is the national aquatic animal of India?,Dolphin,Whale,Shark,Crocodile,1,medium
What is the speed of light?,3 lakh km/s,300 km/s,300000 km/s,150000 km/s,3,medium
Which gas is used in balloons?,Hydrogen,Helium,Oxygen,Nitrogen,2,medium
What is the capital of South Korea?,Seoul,Busan,Tokyo,Beijing,1,medium
Which planet is called Earth’s twin?,Mars,Venus,Jupiter,Saturn,2,medium
What is the SI unit of force?,Newton,Joule,Watt,Volt,1,medium
Which country is famous for pyramids?,India,China,Egypt,Greece,3,medium
Which is the smallest continent?,Asia,Australia,Europe,Africa,2,medium
Which bird can fly highest?,Eagle,Sparrow,Parrot,Owl,1,medium
Which is capital of USA?,NY,LA,Washington DC,Chicago,3,medium
Which is largest desert?,Sahara,Gobi,Thar,Kalahari,1,medium
Which is longest river?,Nile,Ganga,Amazon,Yamuna,1,medium
Which metal is liquid?,Iron,Gold,Mercury,Silver,3,medium
Which is hardest natural substance?,Gold,Diamond,Iron,Silver,2,medium
Which is national game (India)?,Cricket,Hockey,Football,Tennis,2,medium
Which is chemical symbol of gold?,Au,Ag,Fe,Cu,1,medium
Which gas causes global warming?,CO2,O2,N2,H2,1,medium
Which is fastest bird?,Falcon,Eagle,Owl,Parrot,1,medium
Which is smallest state in India?,Goa,Sikkim,Delhi,Punjab,1,medium
Which is largest island?,Greenland,Australia,India,Japan,1,medium
Which is chemical symbol of iron?,Fe,Ir,In,Fo,1,medium
Which is coldest place?,Antarctica,Arctic,Greenland,Alaska,1,medium
Which is national tree?,Neem,Banyan,Mango,Peepal,2,medium
Which is chemical symbol of silver?,Ag,Au,Si,Sl,1,medium
Which is national sport of USA?,Baseball,Basketball,Football,Hockey,1,medium
Which is chemical symbol of sodium?,Na,So,Sn,Nd,1,medium
Which is largest forest?,Amazon,Taiga,Sundarbans,Congo,1,medium
Which is capital of Canada?,Toronto,Ottawa,Montreal,Vancouver,2,medium
Which is symbol of potassium?,K,P,Po,Pt,1,medium
Which is smallest ocean?,Indian,Arctic,Pacific,Atlantic,2,medium
Which is capital of China?,Beijing,Shanghai,Wuhan,Shenzhen,1,medium
Which is symbol of calcium?,Ca,Cl,Cm,Cp,1,medium
Which is symbol of chlorine?,Cl,Cn,Cr,Ca,1,medium
Which is longest wall?,Great Wall,Berlin Wall,Hadrian Wall,China Wall,1,medium
Which is capital of Russia?,Moscow,Kyiv,Minsk,Tashkent,1,medium
Which is symbol of nitrogen?,N,Ni,Na,No,1,medium
Which is capital of Australia?,Sydney,Melbourne,Canberra,Perth,3,medium
Which is largest reef?,Great Barrier,Red Sea,Coral Bay,Maldives,1,medium
Which is the deepest ocean?,Indian,Pacific,Atlantic,Arctic,2,hard
Who developed theory of relativity?,Newton,Einstein,Tesla,Galileo,2,hard
Which element has atomic number 1?,Helium,Hydrogen,Oxygen,Nitrogen,2,hard
What is the capital of Kazakhstan?,Astana,Almaty,Tashkent,Bishkek,1,hard
Which is the world’s oldest civilization?,Roman,Greek,Mesopotamian,Chinese,3,hard
Which metal is used in thermometers?,Mercury,Iron,Gold,Silver,1,hard
What is the currency of Switzerland?,Euro,Dollar,Franc,Peso,3,hard
Which is the smallest bone in human body?,Femur,Tibia,Stapes,Ulna,3,hard
Which country has most islands?,Indonesia,Sweden,Philippines,Japan,2,hard
Who discovered penicillin?,Newton,Darwin,Fleming,Edison,3,hard
Which is the hardest rock?,Granite,Marble,Diamond,Basalt,3,hard
Which layer protects Earth from UV rays?,Troposphere,Mesosphere,Ozone,Stratosphere,3,hard
What is study of fossils called?,Biology,Geology,Paleontology,Ecology,3,hard
Which planet rotates on its side?,Mars,Uranus,Venus,Mercury,2,hard
Which country has highest population?,India,China,USA,Russia,1,hard
Which organ purifies blood?,Heart,Liver,Kidney,Lungs,3,hard
Who invented radio?,Tesla,Marconi,Edison,Graham Bell,2,hard
What is the chemical formula of methane?,CH4,CO2,H2O,O2,1,hard
Which country is called Land of Rising Sun?,China,Thailand,Japan,Korea,3,hard
Which continent has most countries?,Asia,Africa,Europe,South America,2,hard
Which is the largest artery in human body?,Vein,Aorta,Capillary,Nerve,2,hard
Which gas is most abundant in universe?,Oxygen,Hydrogen,Nitrogen,Helium,2,hard
What is the national currency of Russia?,Dollar,Ruble,Yen,Pound,2,hard
Which scientist discovered radium?,Einstein,Curie,Newton,Tesla,2,hard
Which city is known as Pink City?,Delhi,Agra,Jaipur,Mumbai,3,hard
Which ocean surrounds Maldives?,Atlantic,Indian,Pacific,Arctic,2,hard
What is the powerhouse of cell?,Nucleus,Ribosome,Mitochondria,Cytoplasm,3,hard
Which Indian river is called Sorrow of Bihar?,Yamuna,Kosi,Ganga,Brahmaputra,2,hard
Who wrote Discovery of India?,Nehru,Gandhi,Tagore,Patel,1,hard
Which country has no capital city officially?,Nauru,Vatican,Switzerland,Monaco,1,hard
What is derivative of x²?,2x,x,4x,x²,1,hard
Who developed relativity?,Newton,Einstein,Tesla,Edison,2,hard
Binary of decimal 10?,1111,1010,1001,1100,2,hard
Which is hardest natural substance?,Gold,Iron,Diamond,Silver,3,hard
CPU stands for?,Central Process Unit,Central Processing Unit,Computer Process Unit,Core Process Unit,2,hard
RAM is?,Permanent Storage,Temporary Memory,Processor,Graphics Unit,2,hard
What is 12 squared?,124,144,154,164,2,hard
HTML is used for?,Gaming,Styling,Web Structure,Hacking,3,hard
Which protocol powers websites?,FTP,HTTP,SMTP,SSH,2,hard
Python is?,Snake,Programming Language,Game Engine,Browser,2,hard
